Lavg,a_opt
0.006540,5.2
0.013043,5.9
0.019357,4.8
0.025697,5.1
0.033482,4.7
0.039932,4.5
0.046327,4.3
0.052713,4.2
0.059290,4.0
0.065725,3.9
0.072107,3.8
0.078504,3.6
0.086206,3.5
0.092639,3.4
0.099053,3.3
0.105527,3.3
0.111874,3.2
0.118429,3.1
0.124896,3.1
0.131228,3.0
0.138958,2.9
0.145514,2.8
0.151907,2.8
0.158343,2.7
0.165235,2.7
0.171038,2.6
0.177750,2.6
0.184092,2.5
0.190402,2.5
0.198123,2.4
0.204656,2.4
0.211066,2.3
0.217499,2.3
0.224065,2.3
0.230317,2.2
0.236860,2.2
0.243197,2.1
0.251049,2.1
0.257481,2.1
0.263421,2.0
0.270275,2.0
0.276708,2.0
0.283150,1.9
0.289578,1.9
0.296165,1.9
0.303782,1.8
0.310218,1.8
0.316565,1.8
0.323091,1.7
0.330387,1.7
0.335864,1.7
0.342422,1.6
0.348737,1.6
0.355177,1.6
0.362821,1.6
0.369378,1.5
0.375809,1.5
0.382248,1.5
0.388711,1.5
0.395535,1.4
0.401526,1.4
0.407907,1.4
0.415758,1.4
0.422147,1.3
0.428639,1.3
0.434921,1.3
0.441456,1.3
0.447893,1.2
0.454300,1.2
0.460864,1.2
